Date : 2024-03-12 16:44:07
Directory : /Users/jcolago/EDA/Tier3/testing-psg/src
Total : 240 files,  18245 codes, 1712 comments, 1795 blanks, all 21752 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/OrgDetailsSection.jsx                      | JavaScript JSX |         34 |          0 |          3 |         37 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/PaymentMenu.jsx                            | JavaScript JSX |         36 |          0 |          4 |         40 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/RefIdDisplay.jsx                           | JavaScript JSX |          8 |          0 |          1 |          9 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/SellerLandingPage.jsx                      | JavaScript JSX |         63 |          4 |          8 |         75 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/SellerLink.jsx                             | JavaScript JSX |         13 |          0 |          4 |         17 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/SellerPage.jsx                             | JavaScript JSX |        105 |          2 |          7 |        114 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/SellerPageTable.jsx                        | JavaScript JSX |         83 |          2 |          4 |         89 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/UrlDisplay.jsx                             | JavaScript JSX |         39 |          4 |          5 |         48 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/SellerPage/sellerUtils.js                             | JavaScript     |          6 |         10 |          5 |         21 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/StateSelector/StateSelector.jsx                       | JavaScript JSX |        107 |          4 |          7 |        118 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/SuccessAlert/SuccessAlert.jsx                         | JavaScript JSX |         66 |          2 |          4 |         72 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/SuccessAlert/useAlert.js                              | JavaScript     |         12 |          3 |          5 |         20 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TableGroupDetails/TableGroupDetails.css               | CSS            |          8 |          0 |          2 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TableGroupDetails/TableGroupDetails.jsx               | JavaScript JSX |         76 |          0 |          2 |         78 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TableTaskDetails/TableTaskDetails.css                 | CSS            |          3 |          0 |          0 |          3 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TableTaskDetails/TableTaskDetails.jsx                 | JavaScript JSX |        154 |          0 |         14 |        168 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TableTemplate/TableTemplate.jsx                       | JavaScript JSX |         52 |          2 |          2 |         56 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskCard/TaskCard.css                                 | CSS            |          4 |          0 |          1 |          5 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskCard/TaskCard.jsx                                 | JavaScript JSX |        253 |         48 |         18 |        319 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskCard/TaskDropdown.jsx                             | JavaScript JSX |         47 |          1 |          7 |         55 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskList/TaskList.css                                 | CSS            |          6 |          0 |          0 |          6 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskList/TaskList.jsx                                 | JavaScript JSX |        101 |          7 |         10 |        118 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskList/TaskListMerchant.jsx                         | JavaScript JSX |        136 |         17 |          9 |        162 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskList/TaskListOrg.jsx                              | JavaScript JSX |        131 |         24 |          8 |        163 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TaskTabs/TaskTabs.jsx                                 | JavaScript JSX |        143 |         36 |         15 |        194 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TemplateClass/TemplateClass.jsx                       | JavaScript JSX |         20 |          6 |          7 |         33 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/TemplateFunction/TemplateFunction.jsx                 | JavaScript JSX |         12 |          5 |          4 |         21 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/ToggleButton/ToggleButton.jsx                         | JavaScript JSX |         30 |          1 |          2 |         33 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/Typography/Typography.jsx                             | JavaScript JSX |         26 |          0 |          4 |         30 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/UserMenu/UserMenu.jsx                                 | JavaScript JSX |        116 |          2 |          9 |        127 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/UserProfile/UserProfile.jsx                           | JavaScript JSX |        201 |          7 |         14 |        222 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/UserTable/UserTable.css                               | CSS            |         15 |          0 |          5 |         20 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/UserTable/UserTable.jsx                               | JavaScript JSX |         91 |          1 |          7 |         99 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/UserTableRow/UserTableRow.css                         | CSS            |         14 |          0 |          3 |         17 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/UserTableRow/UserTableRow.jsx                         | JavaScript JSX |        183 |          1 |          6 |        190 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/colors.js                                       | JavaScript     |         30 |         10 |         13 |         53 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/helpers.js                                      | JavaScript     |        115 |         38 |         26 |        179 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/modalStyles.js                                  | JavaScript     |         11 |          0 |          3 |         14 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/pageStyles.js                                   | JavaScript     |         34 |          0 |          8 |         42 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/sweetAlerts.js                                  | JavaScript     |         95 |          8 |          5 |        108 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/toasts.js                                       | JavaScript     |         18 |          1 |          2 |         21 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/components/Utils/useCaseType.js                                  | JavaScript     |          9 |          0 |          4 |         13 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/hooks/reduxStore.js                                              | JavaScript     |         55 |          0 |         19 |         74 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/hooks/useDispatch.js                                             | JavaScript     |          4 |          0 |          1 |          5 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/hooks/useHistory.js                                              | JavaScript     |          4 |          0 |          2 |          6 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/index.js                                                         | JavaScript     |         13 |          0 |          5 |         18 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/_root.reducer.js                                  | JavaScript     |         58 |          1 |          4 |         63 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/allGroups.reducer.js                              | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/allUsers.reducer.js                               | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/archivedOrganizations.reducer.js                  | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/auth.reducer.js                                   | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/coupon.reducer.js                                 | JavaScript     |          9 |          0 |          2 |         11 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/couponBook.reducer.js                             | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/couponPDF.reducer.js                              | JavaScript     |         11 |          0 |          2 |         13 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/customers.reducer.js                              | JavaScript     |          9 |          0 |          2 |         11 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/errors.reducer.js                                 | JavaScript     |         31 |          7 |          4 |         42 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/fundraisers.reducer.js                            | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/group.reducer.js                                  | JavaScript     |          9 |          2 |          0 |         11 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/groupAdmin.reducer.js                             | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/locations.reducer.js                              | JavaScript     |          9 |          0 |          2 |         11 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/merchantComments.reducer.js                       | JavaScript     |          9 |          0 |          2 |         11 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/merchantDetails.reducer.js                        | JavaScript     |         14 |          4 |          2 |         20 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/merchantNotes.reducer.js                          | JavaScript     |          9 |          0 |          2 |         11 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/merchantTask.reducer.js                           | JavaScript     |         14 |          2 |          2 |         18 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/merchants.reducer.js                              | JavaScript     |          9 |          0 |          2 |         11 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/merchantsCoupon.reducer.js                        | JavaScript     |          9 |          0 |          2 |         11 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/orgDetails.reducer.js                             | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/orgFundraiser.js                                  | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/orgGroups.reducer.js                              | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/orgNotes.reducer.js                               | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/organizationTask.reducer.js                       | JavaScript     |          9 |          0 |          2 |         11 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/organizations.reducer.js                          | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/roles.reducer.js                                  | JavaScript     |          9 |          0 |          1 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/sellerPage.reducer.js                             | JavaScript     |          9 |          0 |          2 |         11 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/sellers.reducer.js                                | JavaScript     |          9 |          0 |          2 |         11 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/reducers/user.reducer.js                                   | JavaScript     |         11 |          2 |          2 |         15 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/_root.saga.js                                        | JavaScript     |         53 |          6 |          4 |         63 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/actions.js                                           | JavaScript     |          8 |          0 |          2 |         10 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/allGroups.saga.js                                    | JavaScript     |         27 |          0 |          8 |         35 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/allTasks.saga.js                                     | JavaScript     |         28 |          1 |          5 |         34 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/allUsers.saga.js                                     | JavaScript     |         39 |          0 |          8 |         47 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/archivedOrganizations.saga.js                        | JavaScript     |        122 |          0 |         12 |        134 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/coupon.saga.js                                       | JavaScript     |        196 |         10 |         41 |        247 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/couponBook.saga.js                                   | JavaScript     |         38 |          0 |          6 |         44 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/customers.saga.js                                    | JavaScript     |         26 |          0 |          5 |         31 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/fundraiser.saga.js                                   | JavaScript     |        349 |          8 |         26 |        383 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/group.saga.js                                        | JavaScript     |        138 |          6 |         16 |        160 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/groupAdmin.saga.js                                   | JavaScript     |         14 |          0 |          4 |         18 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/locations.saga.js                                    | JavaScript     |         76 |          1 |          8 |         85 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/login.saga.js                                        | JavaScript     |         48 |         22 |         16 |         86 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/merchantComments.saga.js                             | JavaScript     |         88 |          0 |         11 |         99 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/merchantNotes.saga.js                                | JavaScript     |         93 |          1 |         13 |        107 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/merchantTask.saga.js                                 | JavaScript     |        190 |          0 |         20 |        210 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/merchants.saga.js                                    | JavaScript     |        199 |         28 |         27 |        254 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/orgDetails.saga.js                                   | JavaScript     |        103 |          0 |         14 |        117 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/orgNotes.saga.js                                     | JavaScript     |        127 |          0 |         16 |        143 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/organizationTask.saga.js                             | JavaScript     |        190 |          0 |         20 |        210 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/organizations.saga.js                                | JavaScript     |        234 |          2 |         20 |        256 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/registration.saga.js                                 | JavaScript     |         17 |          6 |          7 |         30 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/roles_pbac.saga.js                                   | JavaScript     |         23 |          0 |          6 |         29 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/sellerPage.saga.js                                   | JavaScript     |         57 |          0 |          9 |         66 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/sellers.saga.js                                      | JavaScript     |         60 |          0 |          9 |         69 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/transactions.saga.js                                 | JavaScript     |         16 |          0 |          4 |         20 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/sagas/user.saga.js                                         | JavaScript     |         27 |          8 |          9 |         44 |
| /Users/jcolago/EDA/Tier3/testing-psg/src/redux/store.js                                                   | JavaScript     |         15 |          8 |          6 |         29 |
| Total                                                                                                     |                |     18,245 |      1,712 |      1,795 |     21,752 |
+-----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
